name,start_time,end_time,report,coordinates,connected,busbar,control_areas,zone,pmax,pmin,rpmax_up,rpmax_down,rsmax_up,rsmax_down,rtmax_up,rtmax_down,pcost_rp_up,pcost_rs_up,pcost_rt_up,pcost_rp_down,pcost_rs_down,pcost_rt_down,vomc_avg,auxserv,flex,is_ncre,forced_commit,unavailability,candidate,gen_recourse,gen_recourse_start_time,dimensioned,gen_inv_cost,initial_investment,recog_pot,forced_outage_rate,fom_cost,lifetime,inertia,voltage,owner
"LIBERTAD_II_FV",2024-09-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_ElPelicano",122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"LIBERTAD_III_FV",2024-09-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_ElPelicano",122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"TIRANA_OESTE_FV",2026-12-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPozoAlmonte220",SEN,"Profile_FV_PozoAlmonte01",120.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01918489,0,50,0,220,None
"TAMAYA_SOLAR_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_PV_Kimal220",114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
"ANDES_IIB_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaZaldivar220",SEN,"Profile_PV_NuevaZaldivar220",112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
"PELDEHUE SOLAR_FV",2025-09-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_Cintac",109.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"SAN_PEDRO_NORTE_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_FV_Kimal03",106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,0,0.01782907,0,25,0,220,None
"VALLE_ESCONDIDO_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaCardones500",SEN,"Profile_Escondido",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05839,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.0178,0,30,0,500,None
"GRANJA_SOLAR_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Lagunas220",SEN,"Profile_Granja_Solar",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
"CONEJO_I_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,"Profile_ConejoSolar",104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01372024,0,50,0,500,None
"QUILAPILUN_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_Cintac",103.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09025271,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"LLANO_DE_LLAMPOS_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaCardones500",SEN,"Profile_SolarLlanodeLlampos",101.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.00707213,0,50,0,500,None
"SOL_DE_VARAS_FV",2022-08-01-00:00,2060-01-01-00:00,true,0,false,"Cumbre500",SEN,"Profile_PV_Cumbre500",100.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"PELICANO_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_ElPelicano",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"SOL_DE_VALLENAR_FV",2024-12-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_PFV_Sol_de_Vallenar",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"CERRO_DOMINADOR_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_CERRODOMINADOR",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
"NUEVO_QUILLAGUA_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Lagunas220",SEN,"Profile_FV_Kimal03",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,0,0.01782907,0,25,0,220,None
