name,start_time,end_time,report,h_type,ini,end,h_max_flow,h_min_flow,h_ramp,h_delay,h_delayed_q,h_flow_penalty
"inflow Afl_CMNTronco_1",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_CMNTronco_1","CMNTronco_1",99999,0,99999,0,0,0
"inflow Afl_CANHORN",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_CANHORN","CANHORN",99999,0,99999,0,0,0
"inflow Afl_Angostura",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Angostura","HG_Angostura",99999,0,99999,0,0,0
"inflow Afl_Abanico",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_ABANICO","HG_Abanico",99999,0,99999,0,0,0
"inflow Afl_B_Maule",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_B_Maule","B_Maule",99999,0,99999,0,0,0
"inflow Afl_B_M_Isla",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_B_M_Isla","B_M_Isla",99999,0,99999,0,0,0
"inflow Afl_Antuco",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Antuco","HG_Antuco",99999,0,99999,0,0,0
"inflow Afl_Pangue",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Pangue","HG_Pangue",99999,0,99999,0,0,0
"inflow Afl_Laja_I",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Laja1","HG_Laja I",99999,0,99999,0,0,0
"inflow Afl_La_Mina",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_LaMina","HG_La Mina",99999,0,99999,0,0,0
"inflow Afl_Rapel",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Rapel","Emb_Rapel",99999,0,99999,0,0,0
"inflow Afl_Ralco",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Ralco","Emb_Ralco",99999,0,99999,0,0,0
"inflow Afl_HLC_Portillo",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_HLC_Portillo","HLC_Portillo",99999,0,99999,0,0,0
"inflow Afl_ElToro -> Emb_ElToro 1",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_ElToro","Emb_ElToro",99999,0,99999,0,0,0
"inflow Afl_Curillinque",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Curillinque","HG_Curillinque",99999,0,99999,0,0,0
"inflow Afl_HLH_Tinguiririca",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_HLH_Tinguiririca","HLH_Tinguiririca",99999,0,99999,0,0,0
"inflow Afl_HLH_Azufre",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_HLH_Azufre","HLH_Azufre",99999,0,99999,0,0,0
"inflow Afl_Canutillar -> Emb_Canutillar 1",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Canutillar","Emb_Canutillar",99999,0,99999,0,0,0
"waterway Rio_Melado 1",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"Rio_Melado","Emb_Pehuenche",99999,0,99999,0,0,0
"turbinated HG_LosHierros_2",1970-01-01-00:00,2060-01-01-00:00,true,turbinated,"HG_Los Hierros 2","Emb_Pehuenche",99999,0,99999,0,0,0
"inflow Afl_Pehuenche",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Pehuenche","Emb_Pehuenche",99999,0,99999,0,0,0
"waterway B_Maule",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"B_Maule","Emb_Pehuenche",99999,0,99999,0,0,0
"released Emb_Pehuenche",1970-01-01-00:00,2060-01-01-00:00,true,released,"Emb_Pehuenche","HG_Pehuenche",99999,0,99999,0,0,0
"spilled HG_LosHierros_2",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Los Hierros 2","Emb_Pehuenche",99999,0,99999,0,0,0
"spilled HG_LosHierros",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Los Hierros","Emb_Pehuenche",99999,0,99999,0,0,0
"inflow Afl_Machicura",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Machicura","HG_Machicura",99999,0,99999,0,0,0
"turbinated HG_Colbun",1970-01-01-00:00,2060-01-01-00:00,true,turbinated,"HG_Colbun","HG_Machicura",99999,0,99999,0,0,0
"spilled HG_Blanco",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Blanco","CANACO",99999,0,99999,0,0,0
"waterway CANACO-CANCHAC",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"CANACO","CANCHAC",99999,0,99999,0,0,0
"inflow Afl_Rio_Teno -> Rio_Teno 1",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Rio_Teno","Rio_Teno",99999,0,99999,0,0,0
"spilled HG_La_Mina",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_La Mina","B_M_Isla",99999,0,99999,0,0,0
"vertido B_M_Isla",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"B_M_Isla","B_Maule",99999,0,99999,0,0,0
"waterway HLC_Portillo",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"HLC_Portillo","HG_Confluencia",99999,0,99999,0,0,0
"turbinated HG_Blanco",1970-01-01-00:00,2060-01-01-00:00,true,turbinated,"HG_Blanco","CANACO",99999,0,99999,0,0,0
