name,start_time,end_time,report,coordinates,connected,busbar,control_areas,pmax,pmin,rpmax_up,rpmax_down,rsmax_up,rsmax_down,rtmax_up,rtmax_down,pcost_rp_up,pcost_rs_up,pcost_rt_up,pcost_rp_down,pcost_rs_down,pcost_rt_down,vomc_avg,heatrate_avg,cost_function,auxserv,flex,uc_linear,rampup,rampdn,faststart,startcost,shutdncost,mindntime,minuptime,is_ncre,forced_commit,initialstate,initialtime,fuel_name,unavailability,co2_emission,candidate,gen_recourse,gen_recourse_start_time,dimensioned,gen_inv_cost,initial_investment,recog_pot,forced_outage_rate,fom_cost,lifetime,inertia,voltage,owner
"Las Mercedes",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"AltoJahuel500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_Las Mercedes_Diesel",0.05434,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"Chocalan 1",2023-02-01-00:00,2060-01-01-00:00,true,0,true,"AltoJahuel500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_Chocalan 1_Diesel",0.05434,0.73,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"Los Arrayanes",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_Los Arrayanes_Diesel",0.05434,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"MAYOR POWER_DIE",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"AltoJahuel500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_MAYOR POWER_DIE_Diesel",0.05434,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"DO�A LUZMA_DIE",2024-12-01-00:00,2060-01-01-00:00,true,0,true,"AltoJahuel500",SEN,40,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_DO�A LUZMA_DIE_Diesel",0.05434,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"AGGREKO RM QUILICURA_DIE",2024-03-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_AGGREKO RM QUILICURA_DIE_Diesel",0,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"PMGD_ANDES 1_GN",2024-04-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.088721769,0.247836038,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_PMGD_ANDES 1_GN_GN",0,0.92,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"PMGD_LAS MERCEDES I_DIE",2024-07-01-00:00,2060-01-01-00:00,true,0,true,"Quillota500",SEN,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_PMGD_LAS MERCEDES I_DIE_Diesel",0,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"PMGD_COLACO PARGUA_DIE",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_PMGD_COLACO PARGUA_DIE_Diesel",0.05434,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"AMPLIACION_TENO GAS",2024-11-01-00:00,2060-01-01-00:00,true,0,true,"Ancoa500",SEN,10,0,0,0,0,0,0,0,0,0,0,0,0,0,18.59,0.217690909,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_AMPLIACION_TENO GAS_GLP",0.004967025,0.88,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CALA MORRITOS_DIE",2026-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,200,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0.247169948,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CALA MORRITOS_DIE_Diesel",0.05434,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CENIZAS_AMP_DIE",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaCardones500",SEN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13.811,0.243169091,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CENIZAS_AMP_DIE_Diesel",0.05434,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"MARVER_DIE",2025-07-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPozoAlmonte220",SEN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_MARVER_DIE_Diesel",0,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"QUETALMAHUE_DIE",2025-12-01-00:00,2060-01-01-00:00,true,0,true,"NuevaAncud500",SEN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_QUETALMAHUE_DIE_Diesel",0,0.76,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
