name,start_time,end_time,report,coordinates,connected,busbar,control_areas,zone,pmax,pmin,rpmax_up,rpmax_down,rsmax_up,rsmax_down,rtmax_up,rtmax_down,pcost_rp_up,pcost_rs_up,pcost_rt_up,pcost_rp_down,pcost_rs_down,pcost_rt_down,vomc_avg,auxserv,flex,is_ncre,forced_commit,unavailability,candidate,gen_recourse,gen_recourse_start_time,dimensioned,gen_inv_cost,initial_investment,recog_pot,forced_outage_rate,fom_cost,lifetime,inertia,voltage,owner
"LA_ESTRELLA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_LaEstrella",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"PUELCHE_SUR_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,"Profile_Puelche_Sur",152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"PUNTA_PALMERA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_EolicaPuntaPalmeras",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003228352,0,50,0,500,None
"PUNTA_SIERRA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_PUNTASIERRA",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017308158,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"RAKI_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_Raki",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.013333028,0,50,0,500,None
"RENAICO_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_ParqueEolicoRenaico",88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003797389,0,50,0,500,None
"SAN_GABRIEL_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Mulchen500",SEN,"Profile_San_Gabriel",183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"SAN_JUAN_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_EolicaSanJuan",185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003888651,0,50,0,500,None
"SAN_PEDRO_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,"Profile_Aurora",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"SAN_PEDRO_II_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,"Profile_Aurora",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
