name,start_time,end_time,report,connected,coordinates,busbari,busbarf,max_flow,max_flow_reverse,r,x,branch_associated_ess,branch_ovf_ab,branch_ovf_ba,dc,losses,binary_loss_model,candidate,branch_recourse,branch_recourse_start_time,dimensioned,branch_inv_cost,initial_investment,lifetime,voltage,owner
"LC_Lagunas220_Kimal220",2023-09-01-00:00,2060-01-01-00:00,true,true,0,"Lagunas220","Kimal220",65,65,0,0.2,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,220,None
"LC_AltoJahuel500_Ancoa500",2023-10-01-00:00,2060-01-01-00:00,true,true,0,"AltoJahuel500","Ancoa500",135,135,0,0.2,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"L2_2020_Lagunas220_Kimal220",2027-10-01-00:00,2060-01-01-00:00,true,true,0,"Lagunas220","Kimal220",750,750,0,0.2,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,220,None
"L2_NuevaMaitencillo500_NuevaPandeAzucar500",2025-10-01-00:00,2060-01-01-00:00,true,true,0,"NuevaMaitencillo500","NuevaPandeAzucar500",30,30,0.000939236,0.005,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"L3_2020_Lagunas220_Kimal220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Lagunas220","Kimal220",750,750,0,0.2,,0,0,true,true,false,true,false,1970-01-01-00:00,true,192,0,30,220,None
"L2_NuevaCharrua500_RioMalleco500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"NuevaCharrua500","RioMalleco500",4500,4500,0.000336,0.0034,,0,0,true,true,false,true,false,1970-01-01-00:00,true,81.2,0,40,500,None
"L2_RioMalleco500_Pichirropulli500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"RioMalleco500","Pichirropulli500",4500,4500,0.001164,0.002,,0,0,true,true,false,true,false,1970-01-01-00:00,true,195.5131721,0,40,500,None
"L2_Pichirropulli500_NuevaPuertoMontt500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"Pichirropulli500","NuevaPuertoMontt500",4500,4500,0.0007272,0.004,,0,0,true,true,false,true,false,1970-01-01-00:00,true,113.7294829,0,40,500,None
"L2_NuevaPuertoMontt500_Ancud500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"NuevaPuertoMontt500","NuevaAncud500",4500,4500,0.000528,0.004,,0,0,true,true,false,true,false,1970-01-01-00:00,true,61.80385043,0,40,500,None
"L2_Parinas500_NuevaZaldivar500",2031-01-01-00:00,2060-01-01-00:00,true,true,0,"Parinas500","NuevaZaldivar220",2300,2300,0.00066,0.008,,0,0,true,true,false,true,false,1970-01-01-00:00,true,94.34782609,0,40,500,None
"Tr2_NuevaZaldivar500_NuevaZaldivar220",2030-01-01-00:00,2060-01-01-00:00,false,false,0,"NuevaZaldivar220","NuevaZaldivar220",750,750,0.0002,0.0096,,0,0,true,true,false,true,false,1970-01-01-00:00,true,28.18666667,0,40,220,None
"L2_Lagunas220_Kimal220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Lagunas220","Kimal220",750,750,0.005371901,0.02892562,,0,0,true,true,false,true,false,1970-01-01-00:00,true,160,0,40,220,None
"L2_Kimal220_NuevaZaldivar220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal220","NuevaZaldivar220",1000,1000,0.017458678,0.092975207,,0,0,true,true,false,true,false,1970-01-01-00:00,true,198,0,40,220,None
"L2_Kimal220_LosChangos220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal220","LosChangos220",1000,1000,0.030826446,0.103305785,,0,0,true,true,false,true,false,1970-01-01-00:00,true,145,0,40,220,None
"Tr2_Kimal500_Kimal220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal500","Kimal220",750,750,0.0002,0.0096,,0,0,true,true,false,true,false,1970-01-01-00:00,true,28.18666667,0,40,220,None
"L2_Kimal500_LosChangos500",2031-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal500","LosChangos500",2300,2300,0.0006844,0.0072,,0,0,true,true,false,true,false,1970-01-01-00:00,true,90.2173913,0,40,500,None
"Tr2_LosChangos500_LosChangos220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"LosChangos500","LosChangos220",750,750,0.0000667,0.0064,,0,0,true,true,false,true,false,1970-01-01-00:00,true,28.18666667,0,40,220,None
"L2_LosChangos220_NuevaZaldivar220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"LosChangos220","NuevaZaldivar220",1000,1000,0.009946281,0.094008264,,0,0,true,true,false,true,false,1970-01-01-00:00,true,166,0,40,220,None
"L2_Polpaico500_AltoJahuel500",2031-01-01-00:00,2060-01-01-00:00,true,true,0,"Polpaico500","AltoJahuel500",2300,2300,0.00035972,0.004,,0,0,true,true,false,true,false,1970-01-01-00:00,true,48.7,0,40,500,None
"L2_AltoJahuel500_Ancoa500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"AltoJahuel500","Ancoa500",4500,4500,0.000596,0.0032,,0,0,true,true,false,true,false,1970-01-01-00:00,true,160.8487718,0,40,500,None
"L2_Ancoa500_NuevaCharrua500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"Ancoa500","NuevaCharrua500",4500,4500,0.000612,0.004,,0,0,true,true,false,true,false,1970-01-01-00:00,true,148.6178949,0,40,500,None
"L3_NuevaCharrua500_RioMalleco500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"NuevaCharrua500","RioMalleco500",1500,1500,0.000336,0.0034,,0,0,true,true,false,true,false,1970-01-01-00:00,true,81.2,0,40,500,None
"L3_RioMalleco500_Pichirropulli500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"RioMalleco500","Pichirropulli500",1500,1500,0.001164,0.002,,0,0,true,true,false,true,false,1970-01-01-00:00,true,195.5131721,0,40,500,None
"L3_Pichirropulli500_NuevaPuertoMontt500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"Pichirropulli500","NuevaPuertoMontt500",1500,1500,0.0007272,0.004,,0,0,true,true,false,true,false,1970-01-01-00:00,true,113.7294829,0,40,500,None
"L3_NuevaPuertoMontt500_Ancud500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"NuevaPuertoMontt500","NuevaAncud500",1500,1500,0.000528,0.004,,0,0,true,true,false,true,false,1970-01-01-00:00,true,61.80385043,0,40,500,None
"L3_Parinas500_NuevaZaldivar500",2031-01-01-00:00,2060-01-01-00:00,true,true,0,"Parinas500","NuevaZaldivar220",2300,2300,0.00066,0.008,,0,0,true,true,false,true,false,1970-01-01-00:00,true,70.26086957,0,40,500,None
"Tr3_NuevaZaldivar500_NuevaZaldivar220",2030-01-01-00:00,2060-01-01-00:00,false,false,0,"NuevaZaldivar220","NuevaZaldivar220",750,750,0.0002,0.0096,,0,0,true,true,false,true,false,1970-01-01-00:00,true,28.18666667,0,40,220,None
"L3_Lagunas220_Kimal220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Lagunas220","Kimal220",250,250,0.005371901,0.02892562,,0,0,true,true,false,true,false,1970-01-01-00:00,true,148,0,40,220,None
"L3_Kimal220_NuevaZaldivar220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal220","NuevaZaldivar220",250,250,0.017458678,0.092975207,,0,0,true,true,false,true,false,1970-01-01-00:00,true,105.6,0,40,220,None
"L3_Kimal220_LosChangos220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal220","LosChangos220",250,250,0.030826446,0.103305785,,0,0,true,true,false,true,false,1970-01-01-00:00,true,125,0,40,220,None
"Tr3_Kimal500_Kimal220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal500","Kimal220",750,750,0.0002,0.0096,,0,0,true,true,false,true,false,1970-01-01-00:00,true,28.18666667,0,40,220,None
"L3_Kimal500_LosChangos500",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal500","LosChangos500",1500,1500,0.0006844,0.0072,,0,0,true,true,false,true,false,1970-01-01-00:00,true,83.33333333,0,40,500,None
"Tr3_LosChangos500_LosChangos220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"LosChangos500","LosChangos220",750,750,0.0000667,0.0064,,0,0,true,true,false,true,false,1970-01-01-00:00,true,28.18666667,0,40,220,None
"L3_LosChangos220_NuevaZaldivar220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"LosChangos220","NuevaZaldivar220",250,250,0.009946281,0.094008264,,0,0,true,true,false,true,false,1970-01-01-00:00,true,132.8,0,40,220,None
"L3_Polpaico500_AltoJahuel500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"Polpaico500","AltoJahuel500",1500,1500,0.00035972,0.004,,0,0,true,true,false,true,false,1970-01-01-00:00,true,74.66666667,0,40,500,None
"L3_AltoJahuel500_Ancoa500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"AltoJahuel500","Ancoa500",1500,1500,0.000596,0.0032,,0,0,true,true,false,true,false,1970-01-01-00:00,true,160.8487718,0,40,500,None
"L3_Ancoa500_NuevaCharrua500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"Ancoa500","NuevaCharrua500",1500,1500,0.000612,0.004,,0,0,true,true,false,true,false,1970-01-01-00:00,true,148.6178949,0,40,500,None
"L4_NuevaCharrua500_RioMalleco500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"NuevaCharrua500","RioMalleco500",1500,1500,0.000336,0.0034,,0,0,true,true,false,true,false,1970-01-01-00:00,true,81.2,0,40,500,None
"L4_RioMalleco500_Pichirropulli500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"RioMalleco500","Pichirropulli500",1500,1500,0.001164,0.002,,0,0,true,true,false,true,false,1970-01-01-00:00,true,195.5131721,0,40,500,None
"L4_Pichirropulli500_NuevaPuertoMontt500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"Pichirropulli500","NuevaPuertoMontt500",1500,1500,0.0007272,0.004,,0,0,true,true,false,true,false,1970-01-01-00:00,true,113.7294829,0,40,500,None
"L4_NuevaPuertoMontt500_Ancud500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"NuevaPuertoMontt500","NuevaAncud500",1500,1500,0.000528,0.004,,0,0,true,true,false,true,false,1970-01-01-00:00,true,61.80385043,0,40,500,None
"L4_Parinas500_NuevaZaldivar500",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Parinas500","NuevaZaldivar220",1500,1500,0.00066,0.008,,0,0,true,true,false,true,false,1970-01-01-00:00,true,86.53333333,0,40,500,None
