name,start_time,end_time,report,fuel_type,fuel_price,availability,consider_availability
"Fuel_CMPC_PACIFICO_BL3_fuel_oil",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_PAJONALES_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_PETROPOWER_Petcoke",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_PLACILLA_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_PMGD_CONCHALI_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_PRIME_LOS_CONDORES_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_PUNITAQUI_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_PUNTA_COLORADA_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_QUELLON_2_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_QUINTAY_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_RAMADILLA_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_RASO_POWER_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_RASO_POWER_AMPL_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_RASO_POWER_AMPL_3Y4_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_RENCA_U1_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_RENCA_U2_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_REY_EX_CORRAL_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SALMOFOOD_I_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SALMOFOOD_II_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SAN_GREGORIO_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SAN_JAVIER_ETAPA_I_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SAN_JAVIER_ETAPA_II_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SAN_LORENZO_U1_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SAN_LORENZO_U2_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SAN_LORENZO_U3_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SANTA_FE_BL1_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SANTA_FE_BL2_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SANTA_FE_BL3_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SANTA_FE_BL4_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SANTA_LIDIA_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SANTA_MARIA_Carbon",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SANTA_MARTA_Biogas",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_SEPULTURA_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_TAMM_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_TAPIHUE_GN",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_TENO_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_TERMOPACIFICO_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_TIRUA_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_TOMAVAL_1_GN",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_TOMAVAL_2_GN",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EL_TOTORAL_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_TRAPEN_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_TREBAL_MAPOCHO_Biogas",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_TRONGOL_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_VALDIVIA_BL1_PINO_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_VALDIVIA_BL2_PINO_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_VALDIVIA_BL3_PINO_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_VALDIVIA_BL4_PINO_fuel_oil",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_VENTANAS_2_Carbon",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_VINALES_BL1_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_VINALES_BL2_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_YUNGAY_U1_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_YUNGAY_U2_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_YUNGAY_U3_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_YUNGAY_U4_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CHORRILLOS_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_MIMBRE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_AMPLIACION_CENTRAL_QUELLON_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_COPIULEMU_Biogas",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ZAPALLAR_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LLANOS_BLANCOS_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
