name,start_time,end_time,report,power
"Profile_Cerro_Tigre",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Ckani",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_ElArrebol",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_ElMaiten",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_ElNogal_Eol",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_LaEstrella",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Negrete",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PEol_Malleco",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PEol_Malleco_II",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SanRarinco",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Tolpan_Sur",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Cabo_Leones_I",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_LaFlor",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PEol_Lomas_de_Duqueco",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Puelche_Sur",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PuntadeTalca",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_San_Gabriel",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Sarco",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Tchamma",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eol_LosChangos220",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eol_NuevaPuertoMontt500",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eol_Concepcion500",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eol_Parinas500",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eol_Polpaico500",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eol_NuevaMaitencillo500",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eol_Pichirropulli500",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eol_NuevaCharrua500",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Chuquicamata01",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_TalTalEol02",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_64_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_72_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_76_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_80_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_86_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_90_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_94_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_96_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_131_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_169_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_176_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_192_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_311_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_324_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_332_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_336_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_355_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_375_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_407_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_419_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_429_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_438_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_509_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_585_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_594_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_672_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_693_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_698_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_700_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_708_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_723_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_865_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_912_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_954_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_1102_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_1152_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_1172_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_1425_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1503_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1511_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1531_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1536_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1538_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1664_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1686_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1712_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1871_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Coquimbo_1899_6h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_64_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_72_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_76_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_80_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_86_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_90_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_94_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_96_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_131_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_169_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_176_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_192_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_311_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_324_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_332_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_336_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_355_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_375_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_407_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_419_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_429_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_438_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_509_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_585_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_594_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_672_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_693_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_698_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_700_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_708_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_723_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
