stage,block,NuevaCharrua500,Cumbre500,Pichirropulli500,Polpaico500,NuevaAncud500,AltoJahuel500,NuevaCardones500,Ancoa500,RioMalleco500,NuevaPandeAzucar500,NuevaMaitencillo500,NuevaPuertoMontt500,Parinas500,NuevaZaldivar220,Kimal500,LosChangos500,Lagunas220,Kimal220,LosChangos220,Parinacota220,NuevaPozoAlmonte220,Quillota500,Rapel500,Concepcion500,Mulchen500,Candelaria500
193,11,0.0,42.52576512779077,136.86666984120163,2135.280558428951,0.0,1795.0629446898647,298.3131127428699,636.8576296254213,0.0,544.3663876423947,175.28254840250247,307.30664018257323,1.9889899639743096,1494.3081054864037,0.0,0.0,431.41501315952826,799.1636147927784,0.0,60.034809301310005,78.87144243780907,892.3647045757732,0.0,720.650578537917,259.4310513119837,0.0
193,12,0.0,44.880749024387015,141.11585256928493,2018.316191860685,0.0,1692.2488939581067,303.8231377059946,610.2184290158618,0.0,528.3275727335257,177.2983013900813,320.76765345140757,2.0497186235977023,1483.2963781967026,0.0,0.0,424.16232816437184,790.1392076209415,0.0,56.279749648622996,77.84694229168937,863.8686691786256,0.0,727.8389758559259,268.05423956241566,0.0
193,13,0.0,42.68408336408652,99.82272522333159,1499.7175053083079,0.0,1237.7740655102368,274.57393875819287,509.79745129345184,0.0,440.0983765833339,168.68553869263613,205.86347995155,2.04366745517706,1410.5478015839813,0.0,0.0,384.34098289326516,791.9818576472157,0.0,48.77539849049674,71.98619901978708,750.6797391451665,0.0,576.4637680050807,198.72475457570891,0.0
193,14,0.0,44.40826802270485,90.1463277259968,1393.3181334127546,0.0,1123.7324632282634,278.8216236648703,470.70434835383895,0.0,407.9683666481331,168.8981089676326,186.29928992224606,2.029260479777022,1410.6943449594226,0.0,0.0,382.5534698076814,845.8278685111366,0.0,45.26260075255912,73.38735358669338,679.6599071247795,0.0,526.5130803642562,171.78766986013636,0.0
193,15,0.0,41.12069067837114,86.19888661979795,1309.7730278623958,0.0,1034.4510746723345,272.03729321478585,441.7566194845617,0.0,378.74021923088605,169.67509017640737,174.24179454792846,2.0439782840679004,1416.28394855934,0.0,0.0,370.34022207531564,836.4114691178341,0.0,40.60771113006212,74.27625811924318,638.2631369052095,0.0,490.4272413232689,153.87112806563363,0.0
193,16,0.0,41.77375345270717,78.73801626017342,1218.1061593542129,0.0,944.5561590615175,264.12224094823796,419.8863520436334,0.0,353.2939218101734,166.53051551975403,156.33630775518404,1.9683338711186449,1414.9441181828024,0.0,0.0,361.40265635280394,834.1682429909245,0.0,36.316214384874925,70.5850444528808,588.2563420473334,0.0,454.781421932996,135.71735954333002,0.0
193,17,0.0,44.48247970439097,83.71881891638793,1298.4464271728798,0.0,994.3088515737221,265.06151777099603,440.20747555546336,0.0,354.6243786828122,166.2886251691839,161.02887794669067,1.8836650989972483,1399.4523350812574,0.0,0.0,367.33822637043727,844.3257082253765,0.0,35.52021096181059,68.49084569847133,622.8737903884237,0.0,478.49594032654943,141.695470825234,0.0
193,18,0.0,45.377967264732035,92.03531261737314,1442.225409336787,0.0,1137.6420061578206,272.5697494383838,484.40364084975323,0.0,389.87624814451505,166.2886251691839,183.49934249466543,1.8457663876137558,1402.5297568488413,0.0,0.0,388.3265385464456,843.2641815525841,0.0,40.84997304481152,65.70360275139828,697.9383317742695,0.0,524.2156702715122,166.33738787663435,0.0
193,19,0.0,45.4497052147113,102.57560035686562,1567.0556402189573,0.0,1274.962592885739,277.8105549071538,516.5255960309489,0.0,431.790878104027,170.77459176990814,194.1037005053165,1.8732796506861342,1405.2512862190351,0.0,0.0,395.9384365744572,843.5474460835085,0.0,45.41257240987269,64.1216540519871,744.4782329338832,0.0,566.9948844967889,181.0750927722753,0.0
193,20,0.0,44.994540276172856,104.05537413942861,1625.236227072311,0.0,1331.6349988708275,281.6274887026319,526.5494686166494,0.0,439.1869612565206,168.72951870675564,191.275399110269,1.9845648911400087,1418.7123896945625,0.0,0.0,400.89044654559086,844.2484542290795,0.0,46.47391031593465,66.50211018931317,740.4850121083191,0.0,556.2990232065656,180.56505547327794,0.0
