name,busbar,profile,pmax,pmin,vomc,inv_cost,candidate,kind
Eolica_Coquimbo_27,NuevaPandeAzucar500,Profile_Eolica_Coquimbo_27,11.0,0.0,0.0,1483.0,True,wind
Eolica_Coquimbo_28,NuevaPandeAzucar500,Profile_Eolica_Coquimbo_28,318.0,0.0,0.0,1483.0,True,wind
Eolica_Coquimbo_29,Quillota500,Profile_Eolica_Coquimbo_29,183.0,0.0,0.0,1483.0,True,wind
Eolica_Coquimbo_30,NuevaMaitencillo500,Profile_Eolica_Coquimbo_30,93.0,0.0,0.0,1483.0,True,wind
Eolica_Valparaiso_32,Quillota500,Profile_Eolica_Valparaiso_32,15.0,0.0,0.0,1483.0,True,wind
Eolica_Metropolitana_33,Polpaico500,Profile_Eolica_Metropolitana_33,20.0,0.0,0.0,1483.0,True,wind
Eolica_Metropolitana_34,AltoJahuel500,Profile_Eolica_Metropolitana_34,6.0,0.0,0.0,1483.0,True,wind
Eolica_Metropolitana_35,Polpaico500,Profile_Eolica_Metropolitana_35,6.0,0.0,0.0,1483.0,True,wind
Eolica_Ohiggins_36,Rapel500,Profile_Eolica_Ohiggins_36,45.0,0.0,0.0,1483.0,True,wind
Eolica_Maule_37,Ancoa500,Profile_Eolica_Maule_37,189.0,0.0,0.0,1483.0,True,wind
Eolica_Maule_38,Ancoa500,Profile_Eolica_Maule_38,6.0,0.0,0.0,1483.0,True,wind
Eolica_Maule_39,Ancoa500,Profile_Eolica_Maule_39,43.0,0.0,0.0,1483.0,True,wind
Eolica_Maule_40,Concepcion500,Profile_Eolica_Maule_40,187.0,0.0,0.0,1483.0,True,wind
Eolica_Maule_41,Ancoa500,Profile_Eolica_Maule_41,160.0,0.0,0.0,1483.0,True,wind
Eolica_Maule_42,Ancoa500,Profile_Eolica_Maule_42,75.0,0.0,0.0,1483.0,True,wind
Eolica_Maule_43,Ancoa500,Profile_Eolica_Maule_43,188.0,0.0,0.0,1483.0,True,wind
Eolica_Maule_44,Ancoa500,Profile_Eolica_Maule_44,26.0,0.0,0.0,1483.0,True,wind
Eolica_Maule_45,Ancoa500,Profile_Eolica_Maule_45,120.0,0.0,0.0,1483.0,True,wind
Eolica_Maule_46,Ancoa500,Profile_Eolica_Maule_46,172.0,0.0,0.0,1483.0,True,wind
Eolica_Nuble_47,VadoPedregoso500,Profile_Eolica_Nuble_47,405.0,0.0,0.0,1483.0,True,wind
Eolica_Nuble_48,Concepcion500,Profile_Eolica_Nuble_48,172.0,0.0,0.0,1483.0,True,wind
Eolica_Nuble_49,Concepcion500,Profile_Eolica_Nuble_49,261.0,0.0,0.0,1483.0,True,wind
Eolica_Nuble_50,NuevaCharrua500,Profile_Eolica_Nuble_50,36.0,0.0,0.0,1483.0,True,wind
Eolica_Nuble_51,Concepcion500,Profile_Eolica_Nuble_51,143.0,0.0,0.0,1483.0,True,wind
Eolica_Nuble_52,NuevaCharrua500,Profile_Eolica_Nuble_52,68.0,0.0,0.0,1483.0,True,wind
Eolica_Nuble_53,NuevaCharrua500,Profile_Eolica_Nuble_53,92.0,0.0,0.0,1483.0,True,wind
Eolica_Nuble_54,NuevaCharrua500,Profile_Eolica_Nuble_54,494.0,0.0,0.0,1483.0,True,wind
Eolica_Nuble_55,Concepcion500,Profile_Eolica_Nuble_55,25.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_56,Mulchen500,Profile_Eolica_Biobio_56,154.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_58,RioMalleco500,Profile_Eolica_Biobio_58,25.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_59,NuevaCharrua500,Profile_Eolica_Biobio_59,10.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_60,NuevaCharrua500,Profile_Eolica_Biobio_60,366.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_61,RioMalleco500,Profile_Eolica_Biobio_61,78.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_62,RioMalleco500,Profile_Eolica_Biobio_62,161.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_63,VadoPedregoso500,Profile_Eolica_Biobio_63,1805.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_64,RioMalleco500,Profile_Eolica_Biobio_64,30.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_65,Mulchen500,Profile_Eolica_Biobio_65,1935.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_66,Mulchen500,Profile_Eolica_Biobio_66,8.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_67,NuevaCharrua500,Profile_Eolica_Biobio_67,1152.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_68,Mulchen500,Profile_Eolica_Biobio_68,2525.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_69,VadoPedregoso500,Profile_Eolica_Biobio_69,1809.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_70,NuevaCharrua500,Profile_Eolica_Biobio_70,1323.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_71,Concepcion500,Profile_Eolica_Biobio_71,434.0,0.0,0.0,1483.0,True,wind
Eolica_Biobio_72,Concepcion500,Profile_Eolica_Biobio_72,335.0,0.0,0.0,1483.0,True,wind
Eolica_araucania_75,RioMalleco500,Profile_Eolica_araucania_75,34.0,0.0,0.0,1483.0,True,wind
Eolica_araucania_76,RioMalleco500,Profile_Eolica_araucania_76,432.0,0.0,0.0,1483.0,True,wind
Eolica_araucania_77,RioMalleco500,Profile_Eolica_araucania_77,1223.0,0.0,0.0,1483.0,True,wind
Eolica_araucania_78,Mulchen500,Profile_Eolica_araucania_78,461.0,0.0,0.0,1483.0,True,wind
Eolica_araucania_79,RioMalleco500,Profile_Eolica_araucania_79,548.0,0.0,0.0,1483.0,True,wind
Eolica_araucania_80,RioMalleco500,Profile_Eolica_araucania_80,264.0,0.0,0.0,1483.0,True,wind
Eolica_araucania_81,Pichirropulli500,Profile_Eolica_araucania_81,141.0,0.0,0.0,1483.0,True,wind
Eolica_araucania_82,Pichirropulli500,Profile_Eolica_araucania_82,214.0,0.0,0.0,1483.0,True,wind
Eolica_araucania_83,Pichirropulli500,Profile_Eolica_araucania_83,580.0,0.0,0.0,1483.0,True,wind
Eolica_araucania_84,Pichirropulli500,Profile_Eolica_araucania_84,111.0,0.0,0.0,1483.0,True,wind
Eolica_araucania_85,RioMalleco500,Profile_Eolica_araucania_85,58.0,0.0,0.0,1483.0,True,wind
Eolica_araucania_86,RioMalleco500,Profile_Eolica_araucania_86,401.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_87,Pichirropulli500,Profile_Eolica_LosRios_87,6.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_88,RioMalleco500,Profile_Eolica_LosRios_88,43.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_89,RioMalleco500,Profile_Eolica_LosRios_89,712.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_90,RioMalleco500,Profile_Eolica_LosRios_90,369.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_91,RioMalleco500,Profile_Eolica_LosRios_91,141.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_92,RioMalleco500,Profile_Eolica_LosRios_92,797.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_93,Pichirropulli500,Profile_Eolica_LosRios_93,550.0,0.0,0.0,1483.0,True,wind
