name,stage,block,hm3
afl_a_chacayes,81,13,1.7976453504336
afl_a_chacayes,82,1,3.0717068075676
afl_a_chacayes,83,13,4.3854838808004
afl_a_chacayes,84,13,5.2546319292852
afl_a_chacayes,85,13,4.06032395013
afl_a_chacayes,86,1,2.7348292757304
afl_a_chacayes,87,1,1.8859827066912
afl_a_chacayes,88,1,1.3396361236704
afl_a_chacayes,89,13,1.4657229300852
afl_a_chacayes,90,13,2.130025453164
afl_a_chacayes,91,1,2.0312081059824
afl_a_chacayes,92,1,1.8003634229268
afl_a_chacayes,93,13,1.9196410374684
afl_a_chacayes,94,1,2.7908066243916
afl_a_chacayes,95,13,3.8906592494076
afl_a_chacayes,96,13,4.8104792682912
afl_a_chacayes,97,13,3.8080616028948002
afl_a_chacayes,98,1,2.7029409612156
afl_a_chacayes,99,1,1.866713347476
afl_a_chacayes,100,1,1.275952899258
afl_a_chacayes,101,13,1.3642295425848
afl_a_chacayes,102,13,1.850755179456
afl_a_chacayes,103,1,1.936808794458
afl_a_chacayes,104,1,1.6837711893360001
afl_a_chacayes,105,13,1.8306451791756
afl_a_chacayes,106,1,2.9312216894196
afl_a_chacayes,107,13,4.4005687161984
afl_a_chacayes,108,13,5.2079249826108
afl_a_chacayes,109,13,3.8790070313256
afl_a_chacayes,110,1,2.7360108433368002
afl_a_chacayes,111,1,1.8963646227611999
afl_a_chacayes,112,1,1.4045756393916
afl_a_chacayes,113,13,1.7904298487004
afl_a_chacayes,114,13,2.3169419747352
afl_a_chacayes,115,1,1.9760480472420001
afl_a_chacayes,116,1,1.7202316566816
afl_a_chacayes,117,13,1.84749536052
afl_a_chacayes,118,1,2.75604611994
afl_a_chacayes,119,13,3.904072143336
afl_a_chacayes,120,13,4.632412827924
afl_a_chacayes,121,13,3.65242626612
afl_a_chacayes,122,1,2.5514714675376
afl_a_chacayes,123,1,1.8165410916228
afl_a_chacayes,124,1,1.259247494988
afl_a_chacayes,125,13,1.418161331574
afl_a_chacayes,126,13,1.8456366098736001
afl_a_chacayes,127,1,1.89621050526
afl_a_chacayes,128,1,1.7820047580912
afl_a_chacayes,129,13,1.8434789647308
afl_a_chacayes,130,1,3.003717633336
afl_a_chacayes,131,13,4.17470249574
afl_a_chacayes,132,13,4.78868331564
afl_a_chacayes,133,13,3.715044678684
afl_a_chacayes,134,1,2.5133530693284
afl_a_chacayes,135,1,1.7560336219848
