name,busbar,profile,pmax,pmin,vomc,inv_cost,candidate
FV_Coquimbo_94,NuevaMaitencillo500,Profile_FV_Coquimbo_94,2900.22,0.0,0.0,809.0,True
FV_Coquimbo_95,NuevaPandeAzucar500,Profile_FV_Coquimbo_95,205.411083,0.0,0.0,809.0,True
FV_Coquimbo_99,NuevaMaitencillo500,Profile_FV_Coquimbo_99,16.962594,0.0,0.0,809.0,True
FV_Maule_142,Ancoa500,Profile_FV_Maule_142,10000.0,0.0,0.0,809.0,True
FV_Maule_143,Ancoa500,Profile_FV_Maule_143,2941.41,0.0,0.0,809.0,True
FV_Maule_144,Ancoa500,Profile_FV_Maule_144,163.055272,0.0,0.0,809.0,True
FV_Maule_146,Ancoa500,Profile_FV_Maule_146,5962.35,0.0,0.0,809.0,True
FV_Maule_147,Ancoa500,Profile_FV_Maule_147,10000.0,0.0,0.0,809.0,True
FV_Maule_148,Ancoa500,Profile_FV_Maule_148,10000.0,0.0,0.0,809.0,True
FV_Maule_149,Ancoa500,Profile_FV_Maule_149,934.395554,0.0,0.0,809.0,True
FV_Maule_151,Ancoa500,Profile_FV_Maule_151,1938.75011,0.0,0.0,809.0,True
FV_Maule_152,Ancoa500,Profile_FV_Maule_152,4184.632405,0.0,0.0,809.0,True
FV_Maule_153,Ancoa500,Profile_FV_Maule_153,10000.0,0.0,0.0,809.0,True
FV_Maule_154,Ancoa500,Profile_FV_Maule_154,1286.129582,0.0,0.0,809.0,True
FV_Maule_158,Rapel500,Profile_FV_Maule_158,685.945402,0.0,0.0,809.0,True
FV_Metropolitana_117,Rapel500,Profile_FV_Metropolitana_117,1454.738066,0.0,0.0,809.0,True
FV_Metropolitana_118,AltoJahuel500,Profile_FV_Metropolitana_118,10000.0,0.0,0.0,809.0,True
FV_Metropolitana_120,Candelaria500,Profile_FV_Metropolitana_120,13.499224,0.0,0.0,809.0,True
FV_Metropolitana_121,Rapel500,Profile_FV_Metropolitana_121,3023.58,0.0,0.0,809.0,True
FV_Metropolitana_122,Polpaico500,Profile_FV_Metropolitana_122,10000.0,0.0,0.0,809.0,True
FV_Metropolitana_123,AltoJahuel500,Profile_FV_Metropolitana_123,1291.53,0.0,0.0,809.0,True
FV_Metropolitana_127,Polpaico500,Profile_FV_Metropolitana_127,23.12,0.0,0.0,809.0,True
FV_Nuble_161,NuevaCharrua500,Profile_FV_Nuble_161,4.468091,0.0,0.0,809.0,True
FV_Nuble_162,NuevaCharrua500,Profile_FV_Nuble_162,10000.0,0.0,0.0,809.0,True
FV_Nuble_163,NuevaCharrua500,Profile_FV_Nuble_163,2486.26,0.0,0.0,809.0,True
FV_Nuble_164,NuevaCharrua500,Profile_FV_Nuble_164,11.75,0.0,0.0,809.0,True
FV_Nuble_165,Concepcion500,Profile_FV_Nuble_165,4873.58,0.0,0.0,809.0,True
FV_Nuble_166,NuevaCharrua500,Profile_FV_Nuble_166,10000.0,0.0,0.0,809.0,True
FV_Nuble_167,NuevaCharrua500,Profile_FV_Nuble_167,8790.78,0.0,0.0,809.0,True
FV_Nuble_169,Concepcion500,Profile_FV_Nuble_169,254.33,0.0,0.0,809.0,True
FV_Ohiggins_129,Rapel500,Profile_FV_Ohiggins_129,1903.54,0.0,0.0,809.0,True
FV_Ohiggins_130,Rapel500,Profile_FV_Ohiggins_130,10000.0,0.0,0.0,809.0,True
FV_Ohiggins_131,Candelaria500,Profile_FV_Ohiggins_131,860.89,0.0,0.0,809.0,True
